iter	Logloss
0	0.6743734313
1	0.6568492059
2	0.6399333863
3	0.6268906279
4	0.6165002261
5	0.6064831113
6	0.5977323134
7	0.5881688782
8	0.5815944041
9	0.5741857796
10	0.5693461729
11	0.5625722723
12	0.558083614
13	0.5519553452
14	0.5480898517
15	0.5439767868
16	0.5404276345
17	0.5381986733
18	0.5349536191
19	0.5328804549
20	0.5290821328
21	0.5255749484
22	0.5228283448
23	0.5208575864
24	0.51803579
25	0.5157392263
26	0.5142730125
27	0.5123720105
28	0.511107859
29	0.5101036173
30	0.5088256568
31	0.5068912913
32	0.5051395093
33	0.5035176997
34	0.5015898035
35	0.5004826913
36	0.5000328206
37	0.4990540503
38	0.4982171282
39	0.4974289752
40	0.4962400266
41	0.4950435579
42	0.4944317301
43	0.4934830816
44	0.492764685
45	0.4918662104
46	0.4906705454
47	0.4898323727
48	0.4889859161
49	0.4884680314
50	0.4868839134
51	0.4863310957
52	0.4857183155
53	0.4849269254
54	0.4844770728
55	0.4835730736
56	0.4827491038
57	0.4824359493
58	0.4812784168
59	0.4805589452
60	0.4800707481
61	0.4794709539
62	0.4787841361
63	0.4780986164
64	0.4775219283
65	0.4771560177
66	0.4768495569
67	0.4766402052
68	0.4762842563
69	0.4760402073
70	0.4755464475
71	0.4751667244
72	0.4746606124
73	0.4742268779
74	0.4739004927
75	0.47296246
76	0.4721408034
77	0.4713939865
78	0.4704224429
79	0.4702835024
80	0.4699366084
81	0.4694499994
82	0.469196286
83	0.4686939269
84	0.468194146
85	0.4676434014
86	0.4672096329
87	0.4668316441
88	0.466530417
89	0.4659823111
90	0.4657765743
91	0.4651550996
92	0.4648664854
93	0.4645483871
94	0.4642489447
95	0.4640465961
96	0.4635892984
97	0.4633274718
98	0.4629275162
99	0.4627646666
100	0.4619333224
101	0.4614995666
102	0.4612154834
103	0.4608919369
104	0.4606109384
105	0.4602985437
106	0.459922644
107	0.4596422279
108	0.4594262616
109	0.4590653885
110	0.4588005475
111	0.458289194
112	0.4581981119
113	0.4579764174
114	0.4576072778
115	0.4573755318
116	0.4570707213
117	0.4568149866
118	0.4565177674
119	0.4562568003
120	0.4557615589
121	0.4554354119
122	0.4551478474
123	0.454916036
124	0.454490116
125	0.4539357738
126	0.4531465003
127	0.4528408682
128	0.452723408
129	0.4525315307
130	0.4523222153
131	0.4521143944
132	0.451928547
133	0.4517113521
134	0.4513598215
135	0.4511122073
136	0.4509502975
137	0.4505717337
138	0.450012023
139	0.4497184024
140	0.4494542287
141	0.4493668971
142	0.4492238636
143	0.4490406559
144	0.4486638019
145	0.4483930688
146	0.4482179998
147	0.4478888048
148	0.4476749176
149	0.4475387972
150	0.4472760422
151	0.4469538598
152	0.4466978934
153	0.4465726647
154	0.446399991
155	0.44629744
156	0.4462060578
157	0.4460518504
158	0.4458504653
159	0.4453935533
160	0.4452215369
161	0.4450391037
162	0.4445673328
163	0.4442652653
164	0.4438542637
165	0.443685304
166	0.4434821928
167	0.4434757573
168	0.4431382782
169	0.4428374363
170	0.4426044413
171	0.4424761428
172	0.4422754085
173	0.4421212202
174	0.4417210521
175	0.4414733562
176	0.4413227345
177	0.4412193334
178	0.4410667165
179	0.4406814894
180	0.440347652
181	0.4399743279
182	0.4397055457
183	0.4396060033
184	0.4394216368
185	0.4392048403
186	0.4389378773
187	0.4387365699
188	0.4382172246
189	0.4380082072
190	0.4379031834
191	0.4375592628
192	0.437421452
193	0.4370597267
194	0.4367452327
195	0.4365831765
196	0.4363661552
197	0.4359302645
198	0.4356866924
199	0.4354949596
200	0.4352961754
201	0.4349632578
202	0.4344901438
203	0.4340345738
204	0.4338467574
205	0.4337818222
206	0.4335152509
207	0.4332945234
208	0.4329440734
209	0.432633001
210	0.4323075473
211	0.4319885639
212	0.4318515211
213	0.4317026004
214	0.4314798294
215	0.4311015509
216	0.430742657
217	0.4306063864
218	0.4304044309
219	0.4300236744
220	0.4298083293
221	0.4294955526
222	0.4292742861
223	0.4291948989
224	0.4289781919
225	0.4287608499
226	0.4285020488
227	0.4281774603
228	0.4279151823
229	0.4275900074
230	0.4269297023
231	0.4264485777
232	0.4261785849
233	0.4258479064
234	0.4255230982
235	0.4251784624
236	0.4250137929
237	0.424643026
238	0.4243165019
239	0.4240606443
240	0.4236646483
241	0.4234544097
242	0.4231855583
243	0.4229142652
244	0.4226674359
245	0.422443702
246	0.4220510692
247	0.4215970013
248	0.4212204797
249	0.4206482555
250	0.4203712524
251	0.4202047826
252	0.4197904232
253	0.4194628506
254	0.4192427008
255	0.4189094347
256	0.4185001058
257	0.4181505186
258	0.4179264128
259	0.4175233053
260	0.4171072514
261	0.416751237
262	0.416465628
263	0.4160997456
264	0.4154503282
265	0.4150826757
266	0.4148202346
267	0.4146353458
268	0.4143103493
269	0.4137202863
270	0.4134271357
271	0.4130539422
272	0.4125447187
273	0.411922922
274	0.4115435043
275	0.411210882
276	0.4110225686
277	0.4105765321
278	0.4103775818
279	0.4100887066
280	0.409744995
281	0.4094204333
282	0.4089334977
283	0.4084815444
284	0.4082239083
285	0.408027017
286	0.4077772469
287	0.4075934699
288	0.4072488328
289	0.4069775055
290	0.4067263908
291	0.4064231736
292	0.4061287043
293	0.4057127323
294	0.4054646373
295	0.4051205225
296	0.4048270681
297	0.4043977815
298	0.4040437891
299	0.4037681557
300	0.4033499585
301	0.40307534
302	0.402769219
303	0.4024759764
304	0.4021080139
305	0.4017457247
306	0.4015229956
307	0.4010760125
308	0.4006905115
309	0.4004572007
310	0.4001370267
311	0.3997612914
312	0.3994957488
