iter	Passed	Remaining
0	51	20687
1	55	10978
2	58	7743
3	61	6118
4	65	5143
5	68	4485
6	71	4013
7	74	3667
8	77	3388
9	81	3170
10	84	2988
11	87	2837
12	91	2717
13	94	2611
14	98	2516
15	101	2433
16	104	2358
17	107	2290
18	111	2230
19	114	2175
20	117	2124
21	121	2081
22	124	2038
23	127	1999
24	130	1964
25	134	1930
26	137	1900
27	140	1872
28	144	1845
29	147	1821
30	150	1796
31	154	1775
32	157	1753
33	161	1733
34	164	1713
35	167	1694
36	171	1679
37	174	1661
38	177	1644
39	181	1629
40	184	1613
41	187	1599
42	190	1584
43	194	1571
44	197	1557
45	200	1545
46	204	1532
47	207	1520
48	210	1510
49	214	1499
50	217	1489
51	220	1478
52	224	1468
53	227	1458
54	230	1448
55	234	1438
56	237	1429
57	240	1419
58	244	1410
59	247	1401
60	250	1393
61	254	1385
62	257	1377
63	260	1369
64	264	1360
65	267	1352
66	270	1344
67	273	1336
68	276	1328
69	279	1319
70	283	1312
71	286	1304
72	289	1296
73	292	1290
74	296	1283
75	299	1277
76	303	1271
77	306	1264
78	309	1258
79	312	1250
80	315	1243
81	319	1237
82	322	1231
83	325	1226
84	329	1219
85	332	1214
86	335	1208
87	339	1202
88	342	1195
89	345	1190
90	348	1182
91	351	1177
92	355	1172
93	358	1167
94	361	1161
95	365	1156
96	368	1152
97	372	1147
98	375	1141
99	378	1136
100	382	1131
101	385	1125
102	388	1120
103	392	1115
104	395	1110
105	398	1105
106	402	1100
107	405	1095
108	408	1091
109	412	1086
110	415	1081
111	418	1076
112	421	1071
113	425	1066
114	428	1061
115	431	1056
116	434	1051
117	438	1047
118	441	1042
119	444	1037
120	448	1033
121	451	1028
122	454	1024
123	458	1019
124	461	1015
125	464	1010
126	468	1006
127	471	1001
128	474	997
129	478	993
130	481	988
131	484	984
132	488	980
133	491	975
134	494	971
135	498	967
136	501	962
137	505	958
138	508	954
139	511	950
140	515	946
141	518	941
142	521	937
143	524	932
144	528	928
145	531	924
146	534	920
147	538	916
148	541	912
149	545	908
150	548	904
151	551	900
152	554	895
153	558	891
154	561	887
155	564	883
156	568	879
157	571	875
158	574	871
159	578	867
160	581	863
161	585	860
162	589	857
163	593	853
164	596	849
165	599	845
166	603	841
167	605	836
168	608	831
169	611	827
170	615	823
171	618	819
172	621	815
173	624	811
174	628	808
175	631	804
176	634	799
177	638	795
178	641	791
179	644	787
180	648	784
181	651	780
182	654	776
183	657	772
184	660	768
185	664	764
186	667	760
187	670	756
188	674	752
189	677	748
190	680	744
191	683	740
192	686	736
193	690	733
194	693	729
195	696	725
196	700	721
197	703	717
198	706	713
199	709	709
200	712	705
201	716	702
202	719	698
203	722	694
204	726	690
205	729	686
206	732	682
207	735	679
208	738	675
209	742	671
210	745	667
211	748	664
212	752	660
213	755	656
214	758	652
215	761	648
216	765	645
217	768	641
218	771	637
219	774	633
220	777	630
221	780	626
222	784	622
223	787	618
224	790	614
225	793	610
226	796	607
227	800	603
228	803	599
229	806	596
230	809	592
231	813	588
232	816	585
233	819	581
234	822	577
235	825	573
236	828	570
237	832	566
238	835	562
239	838	559
240	841	555
241	845	551
242	848	548
243	851	544
244	854	540
245	858	537
246	861	533
247	864	529
248	867	526
249	870	522
250	873	518
251	877	515
252	880	511
253	883	507
254	886	504
255	890	500
256	893	496
257	896	493
258	899	489
259	903	486
260	906	482
261	909	479
262	912	475
263	916	471
264	919	468
265	922	464
266	926	461
267	929	457
268	932	454
269	936	450
270	939	447
271	942	443
272	945	440
273	949	436
274	952	432
275	955	429
276	958	425
277	961	422
278	965	418
279	968	415
280	971	411
281	975	407
282	978	404
283	981	401
284	985	397
285	988	393
286	991	390
287	994	386
288	997	383
289	1000	379
290	1004	376
291	1007	372
292	1010	369
293	1013	365
294	1016	361
295	1019	358
296	1023	354
297	1026	351
298	1029	347
299	1032	344
300	1036	340
301	1039	337
302	1042	333
303	1046	330
304	1049	326
305	1052	323
306	1055	319
307	1059	316
308	1062	312
309	1066	309
310	1069	305
311	1072	302
312	1075	299
313	1078	295
314	1082	291
315	1085	288
316	1088	285
317	1092	281
318	1095	278
319	1098	274
320	1102	271
321	1105	267
322	1108	264
323	1112	260
324	1115	257
325	1118	253
326	1122	250
327	1125	247
328	1128	243
329	1132	240
330	1135	236
331	1138	233
332	1142	229
333	1145	226
334	1148	222
335	1152	219
336	1155	216
337	1159	212
338	1162	209
339	1165	205
340	1168	202
341	1172	198
342	1175	195
343	1180	192
344	1183	188
345	1187	185
346	1190	181
347	1193	178
348	1197	174
349	1200	171
350	1203	168
351	1206	164
352	1210	161
353	1213	157
354	1216	154
355	1219	150
356	1223	147
357	1226	143
358	1229	140
359	1233	137
360	1236	133
361	1240	130
362	1243	126
363	1246	123
364	1249	119
365	1253	116
366	1256	112
367	1260	109
368	1263	106
369	1266	102
370	1270	99
371	1273	95
372	1276	92
373	1279	88
374	1283	85
375	1286	82
376	1289	78
377	1292	75
378	1296	71
379	1299	68
380	1302	64
381	1306	61
382	1309	58
383	1312	54
384	1315	51
385	1319	47
386	1322	44
387	1326	41
388	1329	37
389	1332	34
390	1336	30
391	1339	27
392	1342	23
393	1345	20
394	1349	17
395	1352	13
396	1355	10
397	1359	6
398	1362	3
399	1365	0
